Capacity(%),Area,O/C,Count,LastUpdated
18%,MAC Weight Room,(Open),Last Count: 10,Updated: 08/18/2021 07:06 PM
9%,Lower Weight Room,(Open),Last Count: 18,Updated: 08/18/2021 07:06 PM
0%,Pool,(Open),Last Count: 2,Updated: 08/18/2021 07:06 PM
15%,Squash Court,(Open),Last Count: 3,Updated: 08/18/2021 07:11 PM
0%,Pool Deck,(Open),Last Count: 0,Updated: 08/18/2021 07:06 PM
2%,Racquetball Courts,(Open),Last Count: 2,Updated: 08/18/2021 07:11 PM
6%,Power Training Platforms,(Open),Last Count: 3,Updated: 08/18/2021 07:06 PM
0%,Pool Lawn,(Open),Last Count: 0,Updated: 08/18/2021 07:06 PM
0%,Cardio Equipment,(Open),Last Count: 0,Updated: 08/18/2021 07:11 PM
2%,Spa,(Open),Last Count: 1,Updated: 08/18/2021 07:06 PM
0%,Weight Equipment,(Open),Last Count: 0,Updated: 08/18/2021 07:11 PM
0%,Outdoor Volleyball,(Open),Last Count: 0,Updated: 08/18/2021 07:06 PM
18%,MAC Weight Room,(Open),Last Count: 10,Updated: 08/18/2021 07:06 PM
9%,Lower Weight Room,(Open),Last Count: 18,Updated: 08/18/2021 07:06 PM
0%,Pool,(Open),Last Count: 2,Updated: 08/18/2021 07:06 PM
15%,Squash Court,(Open),Last Count: 3,Updated: 08/18/2021 07:11 PM
0%,Pool Deck,(Open),Last Count: 0,Updated: 08/18/2021 07:06 PM
2%,Racquetball Courts,(Open),Last Count: 2,Updated: 08/18/2021 07:11 PM
6%,Power Training Platforms,(Open),Last Count: 3,Updated: 08/18/2021 07:06 PM
0%,Pool Lawn,(Open),Last Count: 0,Updated: 08/18/2021 07:06 PM
0%,Cardio Equipment,(Open),Last Count: 0,Updated: 08/18/2021 07:11 PM
2%,Spa,(Open),Last Count: 1,Updated: 08/18/2021 07:06 PM
0%,Weight Equipment,(Open),Last Count: 0,Updated: 08/18/2021 07:11 PM
0%,Outdoor Volleyball,(Open),Last Count: 0,Updated: 08/18/2021 07:06 PM
18%,MAC Weight Room,(Open),Last Count: 10,Updated: 08/18/2021 07:06 PM
9%,Lower Weight Room,(Open),Last Count: 18,Updated: 08/18/2021 07:06 PM
0%,Pool,(Open),Last Count: 2,Updated: 08/18/2021 07:06 PM
15%,Squash Court,(Open),Last Count: 3,Updated: 08/18/2021 07:11 PM
0%,Pool Deck,(Open),Last Count: 0,Updated: 08/18/2021 07:06 PM
2%,Racquetball Courts,(Open),Last Count: 2,Updated: 08/18/2021 07:11 PM
6%,Power Training Platforms,(Open),Last Count: 3,Updated: 08/18/2021 07:06 PM
0%,Pool Lawn,(Open),Last Count: 0,Updated: 08/18/2021 07:06 PM
0%,Cardio Equipment,(Open),Last Count: 0,Updated: 08/18/2021 07:11 PM
2%,Spa,(Open),Last Count: 1,Updated: 08/18/2021 07:06 PM
0%,Weight Equipment,(Open),Last Count: 0,Updated: 08/18/2021 07:11 PM
0%,Outdoor Volleyball,(Open),Last Count: 0,Updated: 08/18/2021 07:06 PM
7%,MAC Weight Room,(Open),Last Count: 4,Updated: 08/19/2021 12:25 PM
2%,Lower Weight Room,(Open),Last Count: 4,Updated: 08/19/2021 12:25 PM
0%,Pool,(Open),Last Count: 0,Updated: 08/19/2021 12:25 PM
15%,Squash Court,(Open),Last Count: 3,Updated: 08/18/2021 07:11 PM
0%,Pool Deck,(Open),Last Count: 0,Updated: 08/19/2021 12:25 PM
2%,Racquetball Courts,(Open),Last Count: 2,Updated: 08/18/2021 07:11 PM
4%,Power Training Platforms,(Open),Last Count: 2,Updated: 08/19/2021 12:26 PM
1%,Pool Lawn,(Open),Last Count: 2,Updated: 08/19/2021 12:26 PM
0%,Cardio Equipment,(Open),Last Count: 0,Updated: 08/18/2021 07:11 PM
0%,Spa,(Open),Last Count: 0,Updated: 08/19/2021 12:26 PM
0%,Weight Equipment,(Open),Last Count: 0,Updated: 08/18/2021 07:11 PM
0%,Outdoor Volleyball,(Open),Last Count: 0,Updated: 08/19/2021 12:26 PM
7%,MAC Weight Room,(Open),Last Count: 4,Updated: 08/19/2021 12:25 PM
2%,Lower Weight Room,(Open),Last Count: 4,Updated: 08/19/2021 12:25 PM
0%,Pool,(Open),Last Count: 0,Updated: 08/19/2021 12:25 PM
0%,Squash Court,(Open),Last Count: 0,Updated: 08/19/2021 12:50 PM
0%,Pool Deck,(Open),Last Count: 0,Updated: 08/19/2021 12:25 PM
0%,Racquetball Courts,(Open),Last Count: 0,Updated: 08/19/2021 12:50 PM
4%,Power Training Platforms,(Open),Last Count: 2,Updated: 08/19/2021 12:26 PM
1%,Pool Lawn,(Open),Last Count: 2,Updated: 08/19/2021 12:26 PM
0%,Cardio Equipment,(Open),Last Count: 0,Updated: 08/19/2021 12:50 PM
0%,Spa,(Open),Last Count: 0,Updated: 08/19/2021 12:26 PM
0%,Weight Equipment,(Open),Last Count: 0,Updated: 08/19/2021 12:50 PM
0%,Outdoor Volleyball,(Open),Last Count: 0,Updated: 08/19/2021 12:26 PM
7%,MAC Weight Room,(Open),Last Count: 4,Updated: 08/19/2021 12:25 PM
2%,Lower Weight Room,(Open),Last Count: 4,Updated: 08/19/2021 12:25 PM
0%,Pool,(Open),Last Count: 0,Updated: 08/19/2021 12:25 PM
0%,Squash Court,(Open),Last Count: 0,Updated: 08/19/2021 12:50 PM
0%,Pool Deck,(Open),Last Count: 0,Updated: 08/19/2021 12:25 PM
0%,Racquetball Courts,(Open),Last Count: 0,Updated: 08/19/2021 12:50 PM
4%,Power Training Platforms,(Open),Last Count: 2,Updated: 08/19/2021 12:26 PM
1%,Pool Lawn,(Open),Last Count: 2,Updated: 08/19/2021 12:26 PM
0%,Cardio Equipment,(Open),Last Count: 0,Updated: 08/19/2021 12:50 PM
0%,Spa,(Open),Last Count: 0,Updated: 08/19/2021 12:26 PM
0%,Weight Equipment,(Open),Last Count: 0,Updated: 08/19/2021 12:50 PM
0%,Outdoor Volleyball,(Open),Last Count: 0,Updated: 08/19/2021 12:26 PM
4%,MAC Weight Room,(Open),Last Count: 2,Updated: 08/19/2021 04:11 PM
3%,Lower Weight Room,(Open),Last Count: 6,Updated: 08/19/2021 04:11 PM
0%,Pool,(Open),Last Count: 0,Updated: 08/19/2021 04:11 PM
0%,Squash Court,(Open),Last Count: 0,Updated: 08/19/2021 04:07 PM
0%,Pool Deck,(Open),Last Count: 0,Updated: 08/19/2021 04:11 PM
0%,Racquetball Courts,(Open),Last Count: 0,Updated: 08/19/2021 04:07 PM
4%,Power Training Platforms,(Open),Last Count: 2,Updated: 08/19/2021 04:11 PM
0%,Pool Lawn,(Open),Last Count: 0,Updated: 08/19/2021 04:11 PM
1%,Cardio Equipment,(Open),Last Count: 1,Updated: 08/19/2021 04:07 PM
0%,Spa,(Open),Last Count: 0,Updated: 08/19/2021 04:11 PM
0%,Weight Equipment,(Open),Last Count: 0,Updated: 08/19/2021 04:07 PM
0%,Outdoor Volleyball,(Open),Last Count: 0,Updated: 08/19/2021 04:11 PM
4%,MAC Weight Room,(Open),Last Count: 2,Updated: 08/19/2021 04:11 PM
3%,Lower Weight Room,(Open),Last Count: 6,Updated: 08/19/2021 04:11 PM
0%,Pool,(Open),Last Count: 0,Updated: 08/19/2021 04:11 PM
0%,Squash Court,(Open),Last Count: 0,Updated: 08/19/2021 04:07 PM
0%,Pool Deck,(Open),Last Count: 0,Updated: 08/19/2021 04:11 PM
0%,Racquetball Courts,(Open),Last Count: 0,Updated: 08/19/2021 04:07 PM
4%,Power Training Platforms,(Open),Last Count: 2,Updated: 08/19/2021 04:11 PM
0%,Pool Lawn,(Open),Last Count: 0,Updated: 08/19/2021 04:11 PM
1%,Cardio Equipment,(Open),Last Count: 1,Updated: 08/19/2021 04:07 PM
0%,Spa,(Open),Last Count: 0,Updated: 08/19/2021 04:11 PM
0%,Weight Equipment,(Open),Last Count: 0,Updated: 08/19/2021 04:07 PM
0%,Outdoor Volleyball,(Open),Last Count: 0,Updated: 08/19/2021 04:11 PM
5%,MAC Weight Room,(Open),Last Count: 3,Updated: 08/19/2021 05:14 PM
5%,Lower Weight Room,(Open),Last Count: 10,Updated: 08/19/2021 05:14 PM
1%,Pool,(Open),Last Count: 3,Updated: 08/19/2021 05:14 PM
0%,Squash Court,(Open),Last Count: 0,Updated: 08/19/2021 05:10 PM
0%,Pool Deck,(Open),Last Count: 0,Updated: 08/19/2021 05:14 PM
0%,Racquetball Courts,(Open),Last Count: 0,Updated: 08/19/2021 05:10 PM
6%,Power Training Platforms,(Open),Last Count: 3,Updated: 08/19/2021 05:14 PM
0%,Pool Lawn,(Open),Last Count: 0,Updated: 08/19/2021 05:14 PM
0%,Cardio Equipment,(Open),Last Count: 0,Updated: 08/19/2021 05:10 PM
0%,Spa,(Open),Last Count: 0,Updated: 08/19/2021 05:14 PM
0%,Weight Equipment,(Open),Last Count: 0,Updated: 08/19/2021 05:10 PM
0%,Outdoor Volleyball,(Open),Last Count: 0,Updated: 08/19/2021 05:14 PM
20,MAC Weight Room,Open,11,8/19/2021 19:07
4,Lower Weight Room,Open,8,8/19/2021 19:07
1,Pool,Open,4,8/19/2021 19:07
0,Squash Court,Open,0,8/19/2021 19:08
0,Pool Deck,Open,0,8/19/2021 19:07
5,Racquetball Courts,Open,5,8/19/2021 19:08
8,Power Training Platforms,Open,4,8/19/2021 19:07
0,Pool Lawn,Open,0,8/19/2021 19:07
0,Cardio Equipment,Open,0,8/19/2021 19:08
4,Spa,Open,2,8/19/2021 19:07
5,Weight Equipment,Open,1,8/19/2021 19:08
0,Outdoor Volleyball,Open,0,8/19/2021 19:07
20,MAC Weight Room,Open,11,08/19/2021 07:07 PM
4,Lower Weight Room,Open,8,08/19/2021 07:07 PM
1,Pool,Open,4,08/19/2021 07:07 PM
0,Squash Court,Open,0,08/19/2021 07:08 PM
0,Pool Deck,Open,0,08/19/2021 07:07 PM
5,Racquetball Courts,Open,5,08/19/2021 07:08 PM
8,Power Training Platforms,Open,4,08/19/2021 07:07 PM
0,Pool Lawn,Open,0,08/19/2021 07:07 PM
0,Cardio Equipment,Open,0,08/19/2021 07:08 PM
4,Spa,Open,2,08/19/2021 07:07 PM
5,Weight Equipment,Open,1,08/19/2021 07:08 PM
0,Outdoor Volleyball,Open,0,08/19/2021 07:07 PM
20,MAC Weight Room,Open,11,08/19/2021 07:07 PM
4,Lower Weight Room,Open,8,08/19/2021 07:07 PM
1,Pool,Open,4,08/19/2021 07:07 PM
0,Squash Court,Open,0,08/19/2021 07:08 PM
0,Pool Deck,Open,0,08/19/2021 07:07 PM
5,Racquetball Courts,Open,5,08/19/2021 07:08 PM
8,Power Training Platforms,Open,4,08/19/2021 07:07 PM
0,Pool Lawn,Open,0,08/19/2021 07:07 PM
0,Cardio Equipment,Open,0,08/19/2021 07:08 PM
4,Spa,Open,2,08/19/2021 07:07 PM
5,Weight Equipment,Open,1,08/19/2021 07:08 PM
0,Outdoor Volleyball,Open,0,08/19/2021 07:07 PM
20,MAC Weight Room,Open,11,08/19/2021 07:07 PM
4,Lower Weight Room,Open,8,08/19/2021 07:07 PM
1,Pool,Open,4,08/19/2021 07:07 PM
0,Squash Court,Open,0,08/19/2021 07:08 PM
0,Pool Deck,Open,0,08/19/2021 07:07 PM
5,Racquetball Courts,Open,5,08/19/2021 07:08 PM
8,Power Training Platforms,Open,4,08/19/2021 07:07 PM
0,Pool Lawn,Open,0,08/19/2021 07:07 PM
0,Cardio Equipment,Open,0,08/19/2021 07:08 PM
4,Spa,Open,2,08/19/2021 07:07 PM
5,Weight Equipment,Open,1,08/19/2021 07:08 PM
0,Outdoor Volleyball,Open,0,08/19/2021 07:07 PM
20,MAC Weight Room,Open,11,08/19/2021 07:07 PM
4,Lower Weight Room,Open,8,08/19/2021 07:07 PM
1,Pool,Open,4,08/19/2021 07:07 PM
0,Squash Court,Open,0,08/19/2021 07:08 PM
0,Pool Deck,Open,0,08/19/2021 07:07 PM
5,Racquetball Courts,Open,5,08/19/2021 07:08 PM
8,Power Training Platforms,Open,4,08/19/2021 07:07 PM
0,Pool Lawn,Open,0,08/19/2021 07:07 PM
0,Cardio Equipment,Open,0,08/19/2021 07:08 PM
4,Spa,Open,2,08/19/2021 07:07 PM
5,Weight Equipment,Open,1,08/19/2021 07:08 PM
0,Outdoor Volleyball,Open,0,08/19/2021 07:07 PM
11,MAC Weight Room,Open,6,08/20/2021 12:44 PM
3,Lower Weight Room,Open,5,08/20/2021 12:44 PM
0,Pool,Open,0,08/20/2021 12:44 PM
0,Squash Court,Open,0,08/20/2021 12:45 PM
0,Pool Deck,Open,0,08/20/2021 12:44 PM
0,Racquetball Courts,Open,0,08/20/2021 12:45 PM
0,Power Training Platforms,Open,0,08/20/2021 12:44 PM
0,Pool Lawn,Open,0,08/20/2021 12:44 PM
0,Cardio Equipment,Open,0,08/20/2021 12:45 PM
0,Spa,Open,0,08/20/2021 12:44 PM
0,Weight Equipment,Open,0,08/20/2021 12:45 PM
0,Outdoor Volleyball,Open,0,08/20/2021 12:44 PM
11,MAC Weight Room,Open,6,08/20/2021 12:44 PM
3,Lower Weight Room,Open,5,08/20/2021 12:44 PM
0,Pool,Open,0,08/20/2021 12:44 PM
0,Squash Court,Open,0,08/20/2021 12:45 PM
0,Pool Deck,Open,0,08/20/2021 12:44 PM
0,Racquetball Courts,Open,0,08/20/2021 12:45 PM
0,Power Training Platforms,Open,0,08/20/2021 12:44 PM
0,Pool Lawn,Open,0,08/20/2021 12:44 PM
0,Cardio Equipment,Open,0,08/20/2021 12:45 PM
0,Spa,Open,0,08/20/2021 12:44 PM
0,Weight Equipment,Open,0,08/20/2021 12:45 PM
0,Outdoor Volleyball,Open,0,08/20/2021 12:44 PM
15,MAC Weight Room,Open,8,08/20/2021 04:34 PM
7,Lower Weight Room,Open,13,08/20/2021 04:34 PM
0,Pool,Open,1,08/20/2021 04:34 PM
0,Squash Court,Open,0,08/20/2021 04:25 PM
0,Pool Deck,Open,0,08/20/2021 04:34 PM
0,Racquetball Courts,Open,0,08/20/2021 04:25 PM
14,Power Training Platforms,Open,7,08/20/2021 04:34 PM
0,Pool Lawn,Open,0,08/20/2021 04:34 PM
0,Cardio Equipment,Open,0,08/20/2021 04:25 PM
0,Spa,Open,0,08/20/2021 04:34 PM
0,Weight Equipment,Open,0,08/20/2021 04:25 PM
0,Outdoor Volleyball,Open,0,08/20/2021 04:34 PM
15,MAC Weight Room,Open,8,08/20/2021 04:34 PM
7,Lower Weight Room,Open,13,08/20/2021 04:34 PM
0,Pool,Open,1,08/20/2021 04:34 PM
0,Squash Court,Open,0,08/20/2021 04:25 PM
0,Pool Deck,Open,0,08/20/2021 04:34 PM
0,Racquetball Courts,Open,0,08/20/2021 04:25 PM
14,Power Training Platforms,Open,7,08/20/2021 04:34 PM
0,Pool Lawn,Open,0,08/20/2021 04:34 PM
0,Cardio Equipment,Open,0,08/20/2021 04:25 PM
0,Spa,Open,0,08/20/2021 04:34 PM
0,Weight Equipment,Open,0,08/20/2021 04:25 PM
0,Outdoor Volleyball,Open,0,08/20/2021 04:34 PM
15,MAC Weight Room,Open,8,08/20/2021 04:34 PM
7,Lower Weight Room,Open,13,08/20/2021 04:34 PM
0,Pool,Open,1,08/20/2021 04:34 PM
0,Squash Court,Open,0,08/20/2021 04:25 PM
0,Pool Deck,Open,0,08/20/2021 04:34 PM
0,Racquetball Courts,Open,0,08/20/2021 04:25 PM
14,Power Training Platforms,Open,7,08/20/2021 04:34 PM
0,Pool Lawn,Open,0,08/20/2021 04:34 PM
0,Cardio Equipment,Open,0,08/20/2021 04:25 PM
0,Spa,Open,0,08/20/2021 04:34 PM
0,Weight Equipment,Open,0,08/20/2021 04:25 PM
0,Outdoor Volleyball,Open,0,08/20/2021 04:34 PM
15,MAC Weight Room,Open,8,08/20/2021 04:34 PM
7,Lower Weight Room,Open,13,08/20/2021 04:34 PM
0,Pool,Open,1,08/20/2021 04:34 PM
0,Squash Court,Open,0,08/20/2021 04:25 PM
0,Pool Deck,Open,0,08/20/2021 04:34 PM
0,Racquetball Courts,Open,0,08/20/2021 04:25 PM
14,Power Training Platforms,Open,7,08/20/2021 04:34 PM
0,Pool Lawn,Open,0,08/20/2021 04:34 PM
0,Cardio Equipment,Open,0,08/20/2021 04:25 PM
0,Spa,Open,0,08/20/2021 04:34 PM
0,Weight Equipment,Open,0,08/20/2021 04:25 PM
0,Outdoor Volleyball,Open,0,08/20/2021 04:34 PM
15,MAC Weight Room,Open,8,08/20/2021 04:34 PM
7,Lower Weight Room,Open,13,08/20/2021 04:34 PM
0,Pool,Open,1,08/20/2021 04:34 PM
0,Squash Court,Open,0,08/20/2021 04:25 PM
0,Pool Deck,Open,0,08/20/2021 04:34 PM
0,Racquetball Courts,Open,0,08/20/2021 04:25 PM
14,Power Training Platforms,Open,7,08/20/2021 04:34 PM
0,Pool Lawn,Open,0,08/20/2021 04:34 PM
0,Cardio Equipment,Open,0,08/20/2021 04:25 PM
0,Spa,Open,0,08/20/2021 04:34 PM
0,Weight Equipment,Open,0,08/20/2021 04:25 PM
0,Outdoor Volleyball,Open,0,08/20/2021 04:34 PM
15,MAC Weight Room,Open,8,08/20/2021 04:34 PM
7,Lower Weight Room,Open,13,08/20/2021 04:34 PM
0,Pool,Open,1,08/20/2021 04:34 PM
0,Squash Court,Open,0,08/20/2021 04:25 PM
0,Pool Deck,Open,0,08/20/2021 04:34 PM
0,Racquetball Courts,Open,0,08/20/2021 04:25 PM
14,Power Training Platforms,Open,7,08/20/2021 04:34 PM
0,Pool Lawn,Open,0,08/20/2021 04:34 PM
0,Cardio Equipment,Open,0,08/20/2021 04:25 PM
0,Spa,Open,0,08/20/2021 04:34 PM
0,Weight Equipment,Open,0,08/20/2021 04:25 PM
0,Outdoor Volleyball,Open,0,08/20/2021 04:34 PM
15,MAC Weight Room,Open,8,08/20/2021 04:34 PM
7,Lower Weight Room,Open,13,08/20/2021 04:34 PM
0,Pool,Open,1,08/20/2021 04:34 PM
0,Squash Court,Open,0,08/20/2021 04:25 PM
0,Pool Deck,Open,0,08/20/2021 04:34 PM
0,Racquetball Courts,Open,0,08/20/2021 04:25 PM
14,Power Training Platforms,Open,7,08/20/2021 04:34 PM
0,Pool Lawn,Open,0,08/20/2021 04:34 PM
0,Cardio Equipment,Open,0,08/20/2021 04:25 PM
0,Spa,Open,0,08/20/2021 04:34 PM
0,Weight Equipment,Open,0,08/20/2021 04:25 PM
0,Outdoor Volleyball,Open,0,08/20/2021 04:34 PM
15,MAC Weight Room,Open,8,08/20/2021 04:34 PM
7,Lower Weight Room,Open,13,08/20/2021 04:34 PM
0,Pool,Open,1,08/20/2021 04:34 PM
0,Squash Court,Open,0,08/20/2021 04:25 PM
0,Pool Deck,Open,0,08/20/2021 04:34 PM
0,Racquetball Courts,Open,0,08/20/2021 04:25 PM
14,Power Training Platforms,Open,7,08/20/2021 04:34 PM
0,Pool Lawn,Open,0,08/20/2021 04:34 PM
0,Cardio Equipment,Open,0,08/20/2021 04:25 PM
0,Spa,Open,0,08/20/2021 04:34 PM
0,Weight Equipment,Open,0,08/20/2021 04:25 PM
0,Outdoor Volleyball,Open,0,08/20/2021 04:34 PM
4,MAC Weight Room,Open,2,08/23/2021 12:39 PM
5,Lower Weight Room,Open,9,08/23/2021 12:39 PM
0,Pool,Open,1,08/23/2021 12:39 PM
0,Squash Court,Open,0,08/20/2021 04:25 PM
0,Pool Deck,Open,0,08/23/2021 12:39 PM
0,Racquetball Courts,Open,0,08/20/2021 04:25 PM
0,Power Training Platforms,Open,0,08/23/2021 12:39 PM
0,Pool Lawn,Open,0,08/23/2021 12:39 PM
0,Cardio Equipment,Open,0,08/20/2021 04:25 PM
0,Spa,Open,0,08/23/2021 12:39 PM
0,Weight Equipment,Open,0,08/20/2021 04:25 PM
0,Outdoor Volleyball,Open,0,08/23/2021 12:39 PM
4,MAC Weight Room,Open,2,08/23/2021 12:39 PM
5,Lower Weight Room,Open,9,08/23/2021 12:39 PM
0,Pool,Open,1,08/23/2021 12:39 PM
0,Squash Court,Open,0,08/20/2021 04:25 PM
0,Pool Deck,Open,0,08/23/2021 12:39 PM
0,Racquetball Courts,Open,0,08/20/2021 04:25 PM
0,Power Training Platforms,Open,0,08/23/2021 12:39 PM
0,Pool Lawn,Open,0,08/23/2021 12:39 PM
0,Cardio Equipment,Open,0,08/20/2021 04:25 PM
0,Spa,Open,0,08/23/2021 12:39 PM
0,Weight Equipment,Open,0,08/20/2021 04:25 PM
0,Outdoor Volleyball,Open,0,08/23/2021 12:39 PM
15,MAC Weight Room,Open,8,08/23/2021 01:38 PM
3,Lower Weight Room,Open,5,08/23/2021 01:38 PM
0,Pool,Open,1,08/23/2021 01:38 PM
0,Squash Court,Open,0,08/20/2021 04:25 PM
